Year	Grid	Season	Tag	Mass	Status
Y1999	TC	June	C3674	24	None
Y1999	TC	July	C3674	22	None
Y1999	TC	August	C3674	23	None
Y1999	TC	September	C3674	22	None
Y1998	TC	August	C3678	21	None
Y1998	TC	August	C3681	18	None
Y1998	TC	September	C3681	19	None
Y1998	TC	July	C3683	22	None
Y1998	TC	August	C3683	23	None
Y1998	TC	September	C3689	20	None
Y1998	TC	July	C3691	22	None
Y1998	TC	August	C3691	23	None
Y1998	TC	September	C3692	16	None
Y1998	TC	October	C3692	17	None
Y1998	TC	August	C3694	19	None
Y1998	TC	October	C3696	19	None
Y1998	TC	July	C3697	24	None
Y1998	TC	August	C3697	23	None
Y1999	TC	June	C3697	23	None
Y1999	TC	July	C3697	25	None
Y1999	TC	August	C3697	24	None
Y1999	TC	September	C3697	23	None
Y1999	TC	October	C3697	25	None
Y1999	TC	November	C3697	21	None
Y1999	TC	October	C3697	27	None
Y1991	HC	December	C37	24	None
Y1998	TC	September	C3700	21	None
Y1998	GC	May	C3701	22	None
Y1998	GC	June	C3701	20	None
Y1998	GC	May	C3714	24	None
Y1998	GC	June	C3714	18	None
Y1998	GC	August	C3714	26	None
Y1998	GC	September	C3714	23	None
Y1998	GC	September	C3714	27	None
Y1998	GC	May	C3721	21	None
Y1998	GC	June	C3721	17	None
Y1998	GC	October	C3728	21	None
Y1999	GC	June	C3729	24	None
Y1999	GC	June	C3729	22	None
Y1999	GC	July	C3729	23	None
Y1999	GC	August	C3729	23	None
Y1999	GC	September	C3729	25	None
Y1998	GC	August	C3736	17	None
Y1998	GC	September	C3738	19	None
Y1998	GC	September	C3738	20	None
Y1998	GC	September	C3740	22	None
Y1998	GC	August	C3742	12	None
Y1998	GC	June	C3747	25	None
Y1998	GC	August	C3747	23	None
Y1998	GC	September	C3747	26	None
Y1998	GC	August	C3766	23	None
Y1998	GC	September	C3766	24	None
Y1998	GC	September	C3766	25	None
Y1998	GE	August	C3769	17	None
Y1998	GC	June	C3770	17	None
Y1998	GC	August	C3770	24	None
Y1998	GC	September	C3770	27	None
Y1998	GC	August	C3774	21	None
Y1998	GC	September	C3774	23	None
Y1998	GC	September	C3782	21	None
Y1998	GC	September	C3784	21	None
Y1998	GC	October	C3784	23	None
Y1999	GC	June	C3784	31	None
Y1999	GC	June	C3784	27	None
Y1999	GC	July	C3784	27	None
Y1999	GC	August	C3784	24	None
Y1998	GC	September	C3785	21	None
Y1998	GC	October	C3785	22	None
Y1998	GC	May	C3789	23	None
Y1998	GC	June	C3789	23	None
Y1998	GC	September	C3801	20	None
Y1998	GC	October	C3801	20	None
Y1998	GC	August	C3803	17	None
Y1998	GC	September	C3803	17	None
Y1998	GC	September	C3803	21	None
Y1998	GC	August	C3805	16	None
Y1998	GC	September	C3805	19	None
